xi,v2_xi,absF,reF,imF
206,1,4.9824617346938475e-06,-4.73576049281268e-06,1.5483854469746971e-06
207,0,4.982461734693848e-06,-4.733379728365341e-06,1.5556481879873994e-06
208,4,4.982461734693793e-06,-4.730987825818223e-06,1.5629072684096287e-06
209,0,4.982461734693847e-06,-4.728584790799858e-06,1.5701626711601187e-06
210,1,4.9824617346938475e-06,-4.7261706289646675e-06,1.5774143791661545e-06
211,0,4.982461734693847e-06,-4.723745345993455e-06,1.584662375363784e-06
212,2,4.982461734693847e-06,-4.721308947593149e-06,1.5919066426977719e-06
213,0,4.982461734693846e-06,-4.718861439496827e-06,1.5991471641216577e-06
214,1,4.982461734693846e-06,-4.7164028274637154e-06,1.6063839225977947e-06
215,0,4.982461734693846e-06,-4.713933117279164e-06,1.6136169010973911e-06
216,3,4.982461734693792e-06,-4.711452314754589e-06,1.6208460826005325e-06
217,0,4.982461734693845e-06,-4.708960425727711e-06,1.6280714500963092e-06
218,1,4.982461734693845e-06,-4.706457456062032e-06,1.6352929865826807e-06
219,0,4.982461734693845e-06,-4.703943411647334e-06,1.6425106750666918e-06
220,2,4.982461734693845e-06,-4.701418298399405e-06,1.6497244985644242e-06
221,0,4.982461734693845e-06,-4.698882122260081e-06,1.6569344401010542e-06
222,1,4.982461734693845e-06,-4.696334889197229e-06,1.6641404827108931e-06
223,0,4.982461734693844e-06,-4.693776605204735e-06,1.6713426094374265e-06
224,5,4.982461734693573e-06,-4.691207276302233e-06,1.6785408033332636e-06
225,0,4.982461734693844e-06,-4.688626908536367e-06,1.6857350474606322e-06
226,1,4.982461734693843e-06,-4.686035507978226e-06,1.6929253248905074e-06
227,0,4.982461734693843e-06,-4.683433080725883e-06,1.700111618703563e-06
228,2,4.982461734693844e-06,-4.680819632903099e-06,1.7072939119897554e-06
229,0,4.982461734693844e-06,-4.67819517065957e-06,1.714472187848455e-06
230,1,4.982461734693843e-06,-4.675559700170907e-06,1.721646429388485e-06
231,0,4.982461734693843e-06,-4.672913227638629e-06,1.7288166197281622e-06
